llave,nombre_ins,creacion00,direg15,cdpr15,cdcan15,cddis15,regplan15,zona15,mit_15,mih_15,rt_15,rh_15,aprobt_15,aprobh_15,reprot_15,reproh_15,desa_15,desah_15,desert_15,deserh_15,act_15,ach_15,nst_15,nsh_15,sit_15,sih_15,embt_15,embmenor_15,embmayor_15,aat15,aab15,apt15,apb15,aest15,aesb15,aaet15,aaeb15,anat15,anab15,inft15,infb15,olat15,olab15,salt15,salb15,comt15,comb15,bibt15,bibb15,gimt15,gimb15,talt_ai15,talb_ai15,otalt15,otalb15,sodt15,sodb15,indt15,indb15,lavt15,lavb15,sant15,sanb15,tvt15,tvb15,vbt15,vbb15,dvdt15,dvdb15,cetoi15,cetos15,cepei15,cepes15,cepai15,cepas15,ceadi15,ceads15,cptoi15,cptos15,cppei15,cppes15,cppai15,cppas15,cpadi15,cpads15,bib15,sal15,pla15,aux15,serv_int15,expto_15,expdef_15,exptem_15,agrve_15,agrvep_15,agrveo_15,agrfe_15,agrfep_15,agrfeo_15,agree_15,agreep_15,agreeo_15,agrre_15,agrrep_15,agrreo_15,agrde_15,agrdep_15,agrdeo_15,agroe_15,agroep_15,agroeo_15,int_15,inht_15,rit_15,rih_15,frt_15,frh_15,itt_15,ith_15,extrant_15,extranh_15
76,VIRGEN DE GUADALUPE,1990,1,1,101,10111,1,1,85,43,0,0,84,44,5,4,0,0,-3,-1,0,0,11,6,1,0,0,0,0,6,6,2,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,6,6,0,0,1,1,1,1,7,7,0,0,0,23,0,21,0,0,0,2,0,0,0,0,0,0,0,0,99,99,1,1,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,48,0,0,85,48,0,0,4,0
78,NI¥O JESUS,1988,20,1,103,10311,1,1,62,27,0,0,61,28,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,6,4,4,1,1,1,1,1,1,1,1,6,10,6,9,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,27,0,0,0,0,0,0,0,0
80,VITALIA MADRIGAL ARAYA,1908,1,1,101,10101,1,1,769,420,30,16,723,384,28,21,0,0,18,15,4,1,137,87,0,0,0,0,0,31,31,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,48,44,22,20,1,1,4,4,2,2,1,1,25,0,19,0,2,0,4,0,4,0,0,0,3,0,1,0,1,1,1,2,1,12,0,12,20,2,0,25,0,0,5,2,0,0,0,0,0,0,0,0,0,0,769,420,0,0,0,0,0,0,31,18
82,ANGLO AMERICANA,1949,24,3,303,30305,1,1,543,282,0,0,537,277,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,2,2,0,0,0,0,1,1,37,37,41,41,3,3,0,0,15,15,0,0,36,0,34,0,0,0,2,0,30,0,28,0,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,282,0,0,284,150,0,0,5,4
84,BUENAVENTURA CORRALES,1896,1,1,101,10101,1,1,829,416,5,3,815,413,6,1,0,0,8,2,0,0,62,34,4,2,0,0,0,20,20,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,24,24,8,8,4,4,10,10,3,3,6,6,11,0,0,0,8,0,3,0,4,0,0,0,4,0,0,0,1,1,99,99,1,2,0,2,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,829,416,0,0,0,0,0,0,7,4
86,REPUBLICA DE MEXICO,1925,1,1,101,10101,1,1,270,140,6,2,237,122,23,13,0,0,10,5,0,0,30,20,9,5,0,0,0,18,18,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,14,14,7,7,2,2,2,2,1,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,141,0,0,0,0,0,0,37,21
88,SECTOR SIETE,1987,20,1,103,10313,1,1,527,260,51,29,464,216,67,44,0,0,-3,0,6,2,52,29,30,13,0,0,0,7,7,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,9,9,0,0,2,2,10,10,3,3,1,1,18,0,6,0,4,0,8,0,6,0,5,0,0,0,1,0,1,2,1,1,1,8,0,8,52,4,1,12,0,0,3,2,0,5,1,0,0,0,0,7,0,0,527,259,0,0,0,0,0,0,26,13
90,LAS LETRAS,1992,20,1,103,10302,1,1,795,396,39,26,772,375,53,36,3,2,-30,-15,1,1,92,56,32,23,1,1,0,16,16,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,15,15,12,6,2,2,1,1,1,1,1,1,23,0,20,0,1,0,2,0,1,0,0,0,0,0,1,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,386,0,0,0,0,0,0,21,10
92,COSTA RICA,1964,25,1,101,10102,1,1,220,137,7,4,198,121,37,15,0,0,-15,1,2,0,41,22,7,5,0,0,0,6,6,2,2,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,9,9,6,6,0,0,2,2,1,1,1,1,4,0,2,0,1,0,1,0,2,0,2,0,0,0,0,0,1,2,1,2,1,1,0,1,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,220,137,0,0,0,0,0,0,41,29
94,JOSE FIDEL TRISTAN,1936,25,1,101,10102,1,1,370,191,11,9,357,182,5,4,0,0,5,1,10,4,56,28,7,6,0,0,0,13,13,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,6,6,3,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,190,0,0,0,0,0,0,24,13
